input 1,input 2,output
2.533072731,7.039184373,15.82232818
7.039184373,15.82232818,17.94426043
15.82232818,17.94426043,14.91685192
17.94426043,14.91685192,19.12656653
14.91685192,19.12656653,14.09993727
19.12656653,14.09993727,5.091311258
14.09993727,5.091311258,2.476531361
5.091311258,2.476531361,2.762098082
2.476531361,2.762098082,1.974439975
2.762098082,1.974439975,1.775101929
1.974439975,1.775101929,1.292259189
1.775101929,1.292259189,1.122799789
1.292259189,1.122799789,1.138038536
1.122799789,1.138038536,1.173733096
1.138038536,1.173733096,1.75498681
1.173733096,1.75498681,1.416716753
1.75498681,1.416716753,1.009717931
1.416716753,1.009717931,1.18552843
1.009717931,1.18552843,0.815158644
1.18552843,0.815158644,1.043750287
0.815158644,1.043750287,1.088036055
1.043750287,1.088036055,1.356131131
1.088036055,1.356131131,2.007292111
1.356131131,2.007292111,4.429418539
2.007292111,4.429418539,9.549246539
4.429418539,9.549246539,19.23594799
9.549246539,19.23594799,20.82207092
19.23594799,20.82207092,17.45786142
20.82207092,17.45786142,12.95210662
17.45786142,12.95210662,6.6775224
12.95210662,6.6775224,2.874132781
6.6775224,2.874132781,2.382033764
2.874132781,2.382033764,4.020280223
2.382033764,4.020280223,2.040294144
4.020280223,2.040294144,1.662188476
2.040294144,1.662188476,1.367021582
1.662188476,1.367021582,1.010872185
1.367021582,1.010872185,1.137058996
1.010872185,1.137058996,1.540317677
1.137058996,1.540317677,0.886666297
1.540317677,0.886666297,0.896585376
0.886666297,0.896585376,0.792004604
0.896585376,0.792004604,0.687774172
0.792004604,0.687774172,0.677460856
0.687774172,0.677460856,0.95049034
0.677460856,0.95049034,1.723539478
0.95049034,1.723539478,2.503570451
1.723539478,2.503570451,3.743734261
2.503570451,3.743734261,13.9988985
3.743734261,13.9988985,20.19040177
13.9988985,20.19040177,16.38817687
20.19040177,16.38817687,20.85251255
16.38817687,20.85251255,12.01065832
20.85251255,12.01065832,4.16126071
12.01065832,4.16126071,5.158118615
4.16126071,5.158118615,3.36260934
5.158118615,3.36260934,2.242019234
3.36260934,2.242019234,2.371466648
2.242019234,2.371466648,4.084020749
2.371466648,4.084020749,2.814353602
4.084020749,2.814353602,1.799863993
2.814353602,1.799863993,1.642386148
1.799863993,1.642386148,1.400711017
1.642386148,1.400711017,1.395946301
1.400711017,1.395946301,1.057522654
1.395946301,1.057522654,0.974238496
1.057522654,0.974238496,0.851817061
0.974238496,0.851817061,0.858299598
0.851817061,0.858299598,1.017558546
0.858299598,1.017558546,1.586597309
1.017558546,1.586597309,4.178618053
1.586597309,4.178618053,7.505539532
4.178618053,7.505539532,13.21952291
7.505539532,13.21952291,16.097919
13.21952291,16.097919,20.58552526
16.097919,20.58552526,17.88989415
20.58552526,17.88989415,13.14928818
17.88989415,13.14928818,8.278623435
13.14928818,8.278623435,5.249977017
8.278623435,5.249977017,4.634281158
5.249977017,4.634281158,3.951239926
4.634281158,3.951239926,2.419834354
3.951239926,2.419834354,1.519404369
2.419834354,1.519404369,1.722064276
1.519404369,1.722064276,1.593196753
1.722064276,1.593196753,2.094982921
1.593196753,2.094982921,2.325694719
2.094982921,2.325694719,1.085165783
2.325694719,1.085165783,0.994692387
1.085165783,0.994692387,0.839633918
0.994692387,0.839633918,0.734887126
0.839633918,0.734887126,0.752009144
0.734887126,0.752009144,1.056286778
0.752009144,1.056286778,1.638244658
1.056286778,1.638244658,2.46545256
1.638244658,2.46545256,5.823509611
2.46545256,5.823509611,9.027900881
5.823509611,9.027900881,10.57019844
9.027900881,10.57019844,12.76717015
10.57019844,12.76717015,12.59165284
12.76717015,12.59165284,10.76510434
12.59165284,10.76510434,4.500366376
10.76510434,4.500366376,2.228222455
4.500366376,2.228222455,3.615656673
2.228222455,3.615656673,3.33950583
3.615656673,3.33950583,2.87369599
3.33950583,2.87369599,1.607031488
2.87369599,1.607031488,1.192595937
1.607031488,1.192595937,0.828397082
1.192595937,0.828397082,1.369517038
0.828397082,1.369517038,1.165686244
1.369517038,1.165686244,1.002607896
1.165686244,1.002607896,1.176964452
1.002607896,1.176964452,0.866746796
1.176964452,0.866746796,0.784976079
0.866746796,0.784976079,0.730929607
0.784976079,0.730929607,0.884618894
0.730929607,0.884618894,1.429620089
0.884618894,1.429620089,3.477398233
1.429620089,3.477398233,8.418345555
3.477398233,8.418345555,13.72632718
8.418345555,13.72632718,16.67763067
13.72632718,16.67763067,19.50694356
16.67763067,19.50694356,18.45711076
19.50694356,18.45711076,10.30556831
18.45711076,10.30556831,3.43706967
10.30556831,3.43706967,2.867464388
3.43706967,2.867464388,3.596976074
2.867464388,3.596976074,3.122226376
3.596976074,3.122226376,2.124310454
3.122226376,2.124310454,1.907187997
2.124310454,1.907187997,1.344574556
1.907187997,1.344574556,1.164481647
1.344574556,1.164481647,1.463377983
1.164481647,1.463377983,1.065138289
1.463377983,1.065138289,0.975678332
1.065138289,0.975678332,0.985985967
0.975678332,0.985985967,1.103468066
0.985985967,1.103468066,1.272432404
1.103468066,1.272432404,1.067804949
1.272432404,1.067804949,1.31161825
1.067804949,1.31161825,1.748366356
1.31161825,1.748366356,3.964773039
1.748366356,3.964773039,6.888575582
3.964773039,6.888575582,10.75721674
6.888575582,10.75721674,9.352859737
10.75721674,9.352859737,20.81457246
9.352859737,20.81457246,18.85553464
20.81457246,18.85553464,11.02118078
18.85553464,11.02118078,3.455600117
11.02118078,3.455600117,4.716864745
3.455600117,4.716864745,3.985465592
4.716864745,3.985465592,2.771359402
3.985465592,2.771359402,2.702095947
2.771359402,2.702095947,1.718072543
2.702095947,1.718072543,1.341206206
1.718072543,1.341206206,1.12120319
1.341206206,1.12120319,1.10523157
1.12120319,1.10523157,1.111582654
1.10523157,1.111582654,1.100578638
1.111582654,1.100578638,0.853532058
1.100578638,0.853532058,0.884644281
0.853532058,0.884644281,0.784622868
0.884644281,0.784622868,0.928456769
0.784622868,0.928456769,0.824714118
0.928456769,0.824714118,1.245016542
0.824714118,1.245016542,2.102081661
1.245016542,2.102081661,5.162179684
2.102081661,5.162179684,11.69574301
5.162179684,11.69574301,16.87308564
11.69574301,16.87308564,18.37303931
16.87308564,18.37303931,19.3516405
18.37303931,19.3516405,12.09079947
19.3516405,12.09079947,5.10246681
12.09079947,5.10246681,3.839283005
5.10246681,3.839283005,1.783625099
3.839283005,1.783625099,1.613074963
1.783625099,1.613074963,1.068868922
1.613074963,1.068868922,1.325082673
1.068868922,1.325082673,1.01585074
1.325082673,1.01585074,0.811950671
1.01585074,0.811950671,0.876374949
0.811950671,0.876374949,1.667069154
0.876374949,1.667069154,1.140906467
1.667069154,1.140906467,1.011846963
1.140906467,1.011846963,0.94705318
1.011846963,0.94705318,0.979540929
0.94705318,0.979540929,0.946630275
0.979540929,0.946630275,1.06477348
0.946630275,1.06477348,1.135584106
1.06477348,1.135584106,1.867415891
1.135584106,1.867415891,3.497403012
1.867415891,3.497403012,7.351551599
3.497403012,7.351551599,15.00621711
7.351551599,15.00621711,12.95408047
15.00621711,12.95408047,20.95838743
12.95408047,20.95838743,14.49038375
20.95838743,14.49038375,6.069915177
14.49038375,6.069915177,5.47346388
6.069915177,5.47346388,4.279608295
5.47346388,4.279608295,2.680342106
4.279608295,2.680342106,1.981415796
2.680342106,1.981415796,1.286137522
1.981415796,1.286137522,0.985502471
1.286137522,0.985502471,0.871882693
0.985502471,0.871882693,0.985518039
0.871882693,0.985518039,1.144880962
0.985518039,1.144880962,1.219545591
1.144880962,1.219545591,1.147932017
1.219545591,1.147932017,1.009152772
1.147932017,1.009152772,0.890873742
1.009152772,0.890873742,0.884106913
0.890873742,0.884106913,1.132751573
0.884106913,1.132751573,1.439928242
1.132751573,1.439928242,2.284710018
1.439928242,2.284710018,3.944600333
2.284710018,3.944600333,7.727396904
3.944600333,7.727396904,15.26434572
7.727396904,15.26434572,17.76395469
15.26434572,17.76395469,17.45805734
17.76395469,17.45805734,13.30673157
17.45805734,13.30673157,5.983384098
13.30673157,5.983384098,5.450859383
5.983384098,5.450859383,7.561216262
5.450859383,7.561216262,4.131567879
7.561216262,4.131567879,2.019096268
4.131567879,2.019096268,1.294460311
2.019096268,1.294460311,1.234236385
1.294460311,1.234236385,1.257393751
1.234236385,1.257393751,1.454541373
1.257393751,1.454541373,1.254219083
1.454541373,1.254219083,0.922115081
1.254219083,0.922115081,0.970971697
0.922115081,0.970971697,1.005402461
0.970971697,1.005402461,0.933323527
1.005402461,0.933323527,0.843410445
0.933323527,0.843410445,1.205206374
0.843410445,1.205206374,1.661791309
1.205206374,1.661791309,2.899732411
1.661791309,2.899732411,7.249388424
2.899732411,7.249388424,7.842162673
7.249388424,7.842162673,12.09733064
7.842162673,12.09733064,15.21209466
12.09733064,15.21209466,15.29110573
15.21209466,15.29110573,9.386615326
15.29110573,9.386615326,6.536922052
9.386615326,6.536922052,5.184596489
6.536922052,5.184596489,7.481107871
5.184596489,7.481107871,6.778331127
7.481107871,6.778331127,3.492481962
6.778331127,3.492481962,2.155424421
3.492481962,2.155424421,1.839450048
2.155424421,1.839450048,2.076286391
1.839450048,2.076286391,2.450342845
2.076286391,2.450342845,1.368747505
2.450342845,1.368747505,1.439409098
1.368747505,1.439409098,1.042586995
1.439409098,1.042586995,0.988723945
1.042586995,0.988723945,0.859871192
0.988723945,0.859871192,0.871626936
0.859871192,0.871626936,0.88942715
0.871626936,0.88942715,1.581914613
0.88942715,1.581914613,5.288157671
1.581914613,5.288157671,9.680806195
5.288157671,9.680806195,23.9557683
9.680806195,23.9557683,27.767217
23.9557683,27.767217,22.1383847
27.767217,22.1383847,18.36554347
22.1383847,18.36554347,13.07256909
18.36554347,13.07256909,6.925996421
13.07256909,6.925996421,5.651721086
6.925996421,5.651721086,6.679329187
5.651721086,6.679329187,3.112361057
6.679329187,3.112361057,2.125358549
3.112361057,2.125358549,1.725597042
2.125358549,1.725597042,1.280602961
1.725597042,1.280602961,1.18217608
1.280602961,1.18217608,1.98471577
1.18217608,1.98471577,1.412975783
1.98471577,1.412975783,1.532064
1.412975783,1.532064,0.961508005
1.532064,0.961508005,0.96261222
0.961508005,0.96261222,0.748052262
0.96261222,0.748052262,0.923227746
0.748052262,0.923227746,0.960155821
0.923227746,0.960155821,1.359353176
0.960155821,1.359353176,3.028029397
1.359353176,3.028029397,5.30938089
3.028029397,5.30938089,10.44103294
5.30938089,10.44103294,7.832970607
10.44103294,7.832970607,14.32188111
7.832970607,14.32188111,12.2206238
14.32188111,12.2206238,9.092776465
12.2206238,9.092776465,3.762338535
9.092776465,3.762338535,3.85782627
3.762338535,3.85782627,3.523540344
3.85782627,3.523540344,3.768816514
3.523540344,3.768816514,3.305076621
3.768816514,3.305076621,2.71292767
3.305076621,2.71292767,1.715679297
2.71292767,1.715679297,1.348354599
1.715679297,1.348354599,2.147277763
1.348354599,2.147277763,1.257991878
2.147277763,1.257991878,1.220502201
1.257991878,1.220502201,1.126055896
1.220502201,1.126055896,0.864975883
1.126055896,0.864975883,0.680520436
0.864975883,0.680520436,0.814410384
0.680520436,0.814410384,0.80463701
0.814410384,0.80463701,1.406756976
0.80463701,1.406756976,2.601857581
1.406756976,2.601857581,5.234163752
2.601857581,5.234163752,7.292679922
5.234163752,7.292679922,9.251190303
7.292679922,9.251190303,16.35141102
9.251190303,16.35141102,16.81556331
16.35141102,16.81556331,8.990351919
16.81556331,8.990351919,4.26421265
8.990351919,4.26421265,3.372682781
4.26421265,3.372682781,3.643500429
3.372682781,3.643500429,3.899305356
3.643500429,3.899305356,1.885698132
3.899305356,1.885698132,1.377892196
1.885698132,1.377892196,1.220046314
1.377892196,1.220046314,1.086171777
1.220046314,1.086171777,1.429690533
1.086171777,1.429690533,1.251320561
1.429690533,1.251320561,1.238870558
1.251320561,1.238870558,0.965075757
1.238870558,0.965075757,0.929417651
0.965075757,0.929417651,0.894447021
0.929417651,0.894447021,0.951920486
0.894447021,0.951920486,1.06844951
0.951920486,1.06844951,1.413510545
1.06844951,1.413510545,3.357801
1.413510545,3.357801,6.734069292
3.357801,6.734069292,11.47402892
6.734069292,11.47402892,18.47749176
11.47402892,18.47749176,24.68409067
18.47749176,24.68409067,11.54465387
24.68409067,11.54465387,8.956379033
11.54465387,8.956379033,5.420509894
8.956379033,5.420509894,3.095377424
5.420509894,3.095377424,2.474026268
3.095377424,2.474026268,2.336486351
2.474026268,2.336486351,1.805384422
2.336486351,1.805384422,1.766553105
1.805384422,1.766553105,1.323413891
1.766553105,1.323413891,1.18774177
1.323413891,1.18774177,1.481843481
1.18774177,1.481843481,2.522453162
1.481843481,2.522453162,2.248318478
2.522453162,2.248318478,1.407261066
2.248318478,1.407261066,1.393463822
1.407261066,1.393463822,1.111789483
1.393463822,1.111789483,1.036030845
1.111789483,1.036030845,1.088464137
1.036030845,1.088464137,1.413713682
1.088464137,1.413713682,2.821336735
1.413713682,2.821336735,7.380031973
2.821336735,7.380031973,16.38562074
7.380031973,16.38562074,16.92300778
16.38562074,16.92300778,16.40753791
16.92300778,16.40753791,20.39249386
16.40753791,20.39249386,15.40048507
20.39249386,15.40048507,7.8527563
15.40048507,7.8527563,4.985605964
7.8527563,4.985605964,4.664625675
4.985605964,4.664625675,2.667990048
4.664625675,2.667990048,1.627911526
